[20:08:29] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:08:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:08:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:08:29] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:08:29] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:08:29] [main/INFO]: Reloading ResourceManager: Default
[20:08:30] [Worker-Main-14/INFO]: Loaded 7 recipes
[20:08:30] [Worker-Main-14/INFO]: Loaded 927 advancements
[20:08:32] [Server thread/INFO]: Starting minecraft server version 1.16.4
[20:08:32] [Server thread/INFO]: Loading properties
[20:08:32] [Server thread/INFO]: Default game type: SURVIVAL
[20:08:32] [Server thread/INFO]: Generating keypair
[20:08:33] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:08:33] [Server thread/INFO]: Using default channel type
[20:08:34] [Server thread/INFO]: Preparing level "world"
[20:08:44] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:08:44] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[20:08:45] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[20:08:45] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[20:08:46] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[20:08:46] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[20:08:47] [Worker-Main-12/INFO]: Preparing spawn area: 1%
[20:08:47] [Worker-Main-12/INFO]: Preparing spawn area: 2%
[20:08:48] [Worker-Main-12/INFO]: Preparing spawn area: 2%
[20:08:48] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[20:08:49] [Worker-Main-10/INFO]: Preparing spawn area: 4%
[20:08:49] [Worker-Main-9/INFO]: Preparing spawn area: 5%
[20:08:50] [Worker-Main-10/INFO]: Preparing spawn area: 5%
[20:08:50] [Worker-Main-12/INFO]: Preparing spawn area: 5%
[20:08:51] [Worker-Main-15/INFO]: Preparing spawn area: 5%
[20:08:51] [Worker-Main-9/INFO]: Preparing spawn area: 5%
[20:08:52] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[20:08:52] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[20:08:53] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[20:08:53] [Worker-Main-12/INFO]: Preparing spawn area: 9%
[20:08:54] [Worker-Main-15/INFO]: Preparing spawn area: 9%
[20:08:54] [Worker-Main-15/INFO]: Preparing spawn area: 9%
[20:08:55] [Worker-Main-13/INFO]: Preparing spawn area: 9%
[20:08:55] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[20:08:56] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[20:08:56] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[20:08:57] [Worker-Main-15/INFO]: Preparing spawn area: 9%
[20:08:57] [Worker-Main-10/INFO]: Preparing spawn area: 16%
[20:08:58] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[20:08:58] [Worker-Main-15/INFO]: Preparing spawn area: 17%
[20:08:59] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[20:08:59] [Worker-Main-10/INFO]: Preparing spawn area: 17%
[20:09:00] [Worker-Main-10/INFO]: Preparing spawn area: 17%
[20:09:00] [Worker-Main-13/INFO]: Preparing spawn area: 17%
[20:09:01] [Worker-Main-10/INFO]: Preparing spawn area: 17%
[20:09:01] [Worker-Main-8/INFO]: Preparing spawn area: 17%
[20:09:02] [Worker-Main-12/INFO]: Preparing spawn area: 17%
[20:09:02] [Worker-Main-8/INFO]: Preparing spawn area: 24%
[20:09:03] [Worker-Main-12/INFO]: Preparing spawn area: 24%
[20:09:03] [Worker-Main-9/INFO]: Preparing spawn area: 24%
[20:09:04] [Worker-Main-12/INFO]: Preparing spawn area: 24%
[20:09:04] [Worker-Main-11/INFO]: Preparing spawn area: 26%
[20:09:05] [Worker-Main-11/INFO]: Preparing spawn area: 26%
[20:09:05] [Worker-Main-12/INFO]: Preparing spawn area: 26%
[20:09:06] [Worker-Main-12/INFO]: Preparing spawn area: 26%
[20:09:06] [Worker-Main-13/INFO]: Preparing spawn area: 26%
[20:09:07] [Worker-Main-9/INFO]: Preparing spawn area: 32%
[20:09:07] [Worker-Main-10/INFO]: Preparing spawn area: 33%
[20:09:08] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[20:09:08] [Worker-Main-8/INFO]: Preparing spawn area: 36%
[20:09:09] [Worker-Main-9/INFO]: Preparing spawn area: 37%
[20:09:09] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[20:09:10] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[20:09:10] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[20:09:11] [Worker-Main-12/INFO]: Preparing spawn area: 37%
[20:09:11] [Worker-Main-15/INFO]: Preparing spawn area: 44%
[20:09:12] [Worker-Main-12/INFO]: Preparing spawn area: 45%
[20:09:12] [Worker-Main-10/INFO]: Preparing spawn area: 46%
[20:09:13] [Worker-Main-8/INFO]: Preparing spawn area: 48%
[20:09:14] [Worker-Main-9/INFO]: Preparing spawn area: 49%
[20:09:14] [Worker-Main-13/INFO]: Preparing spawn area: 49%
[20:09:14] [Worker-Main-11/INFO]: Preparing spawn area: 49%
[20:09:15] [Worker-Main-12/INFO]: Preparing spawn area: 55%
[20:09:15] [Worker-Main-8/INFO]: Preparing spawn area: 57%
[20:09:18] [Worker-Main-15/INFO]: Preparing spawn area: 59%
[20:09:18] [Worker-Main-8/INFO]: Preparing spawn area: 59%
[20:09:18] [Worker-Main-10/INFO]: Preparing spawn area: 59%
[20:09:18] [Worker-Main-8/INFO]: Preparing spawn area: 59%
[20:09:18] [Worker-Main-9/INFO]: Preparing spawn area: 59%
[20:09:18] [Worker-Main-12/INFO]: Preparing spawn area: 68%
[20:09:19] [Worker-Main-12/INFO]: Preparing spawn area: 69%
[20:09:19] [Worker-Main-9/INFO]: Preparing spawn area: 70%
[20:09:20] [Worker-Main-11/INFO]: Preparing spawn area: 73%
[20:09:20] [Worker-Main-8/INFO]: Preparing spawn area: 75%
[20:09:21] [Worker-Main-13/INFO]: Preparing spawn area: 76%
[20:09:21] [Worker-Main-8/INFO]: Preparing spawn area: 78%
